-1381,1031,424,-1005,732,-376,133,2674,-3665,-524,3415,-178,-3925,127,3951,
-1045,-3848,3197,1374,-2818,91,1725,-603,-926,571,1310,-1424,-794,1958,-343,
246,796,-890,771,-1081,849,790,-557,1396,-3346,950,2496,-3583,-702,2659,
776,-71,-785,1398,-588,1411,-1151,-2482,3028,672,-3611,33,2553,979,-3938,
1148,3685,-3168,-877,2515,-872,-1135,412,1139,-420,-1407,1848,1,-1517,1054,
-1174,-530,1541,-1086,898,-1199,890,1330,-1237,-556,-998,2773,-382,-4361,2956,
-658,401,-468,539,115,-641,1331,-1148,2350,-2586,-1311,4353,-1464,-3235,902,
2549,-652,-3412,3034,1433,-3568,1261,1716,-1773,-317,1041,131,-760,-257,984,
1272,-570,-180,219,-606,1404,-1193,83,2707,-2172,-1723,476,3832,-2959,-4102,
4254,2491,-4805,-10,3999,-1072,-2648,1704,1692,-2560,-314,2561,-967,-1314,1148,
53,-1303,1565,-342,578,-597,-1539,2830,-1739,-2408,1857,1218,-1154,-1642,2331,
-304,-252,1256,-1146,559,39,-559,2772,-2830,-1488,3020,-207,-2385,-1059,3442,
735,-818,121,391,-292,674,-1212,1383,1559,-2561,-1544,2560,2186,-4174,-1041,
4871,-1019,-3251,1600,1849,-1333,-1405,1530,594,-1898,437,1708,-1420,-462,1266,
-444,331,189,-1090,1859,-1372,1098,2251,-2158,-1703,-539,1788,-688,-2291,3413,
-354,-273,1172,-1220,1329,1029,-2519,-124,1410,1051,-2845,-1189,3392,-698,-2668,
1196,-1254,47,962,-897,2546,-2720,-435,2301,-955,-1741,-505,2394,-325,-2881,
592,-339,89,548,-1229,1716,586,-2937,1494,1114,-760,-2683,1589,3060,-3861,
-812,420,-61,854,587,-2783,1168,2139,-3016,-1034,1796,1527,-2695,-177,3304,
-1573,143,1690,849,-4026,83,3083,-273,-2084,-180,1531,1083,-2168,-189,2140,
-876,1468,-1199,348,1953,-3200,963,720,313,-1014,-1836,3209,-1007,-1996,2560,
720,-538,-217,982,-1187,645,2625,-2761,-1456,1674,1038,-89,-3848,-680,4985,
-307,-4447,1103,3861,-1658,-1938,675,1589,-520,-1522,138,1650,-557,-1238,686,
191,337,-10,1613,-2728,-266,2836,-1605,-1894,368,2361,-1214,-2305,2972,565,
-726,542,49,-819,2525,-2158,-655,919,770,-1071,-2378,3497,-137,-2923,2352,
-884,1724,-1625,1845,448,-2135,350,-126,655,-2295,953,2606,-3166,729,2079,
596,-691,653,33,714,-1443,-1141,3150,-741,-3134,1222,2464,-1507,-1986,2744,
-530,71,402,-633,1128,-1061,176,938,-1300,2755,-1642,-3086,4107,-84,-3225,
-173,2668,599,-3952,1882,2529,-2915,-70,1673,-412,-872,-166,1885,-1099,-1277,
1338,-1616,288,607,-569,664,-1346,1426,712,161,712,-4068,915,3264,-4184,
-189,3980,-1206,-2644,1982,1778,-2577,-95,2575,-1673,-851,1478,-281,-683,226,
-876,152,674,-787,900,728,-497,-1149,-432,2455,-1582,-3575,3870,718,-3167,
-309,470,349,-1112,1104,-788,1317,1158,-3894,1814,1565,-1245,-2488,307,4012,
-1042,1206,-888,476,110,-593,1484,5,-954,-1312,1884,1603,-5134,1406,3459,
-275,-1471,-29,2770,-2979,-1402,2986,-510,-1250,-125,2277,-1075,-1455,2081,-386,
-480,70,708,-1466,1643,-714,-345,1586,-63,-1883,-707,3345,-1009,-4769,3320,
-1080,1755,302,-1429,-511,668,1667,-3364,-297,3391,-1418,-1606,1454,1243,-1487,
