862,-1587,1773,-1668,1074,-35,-1086,1746,-1314,2019,-2043,1896,-249,2203,-4837,-1751,1761,2877,-1598,-1275,2563,-744,-979,86,661,273,-2107
38,586,-956,1181,-1395,1982,-2539,2597,-1278,1315,930,-2517,-1288,-375,2267,-788,-710,2058,-547,-475,-1550,3360,-2598,730,-228,809,-661
745,-1305,908,-1261,1871,-1111,173,700,-1318,2556,-2091,3213,-1917,-1369,-1927,1938,621,-867,-63,1340,-695,-606,834,-381,-513,731,-419
-364,1083,-445,2394,-1839,-3573,385,1909,1171,-1589,968,-666,1480,-2257,2194,-1726,663,-257,-117,970,-1414,387,534,-521,916,-1337,1612
-1466,751,-536,767,192,-923,1670,-1755,2525,-237,81,-5453,2501,584,751,-1235,1035,1370,-2091,904,-418,-130,380,-889,1688,-1517,1168
-1254,1867,-1138,54,362,-196,1214,-1716,2688,-1815,1881,-3221,-219,-400,1837,-182,-870,1635,-535,-144,-701,638,601,-2004,2313,-1538,848
-891,1917,-45,-1185,-3514,1600,1266,839,-1342,1008,1359,-2882,1262,-504,1501,-1911,126,1692,-1642,1046,-704,1256,-1144,440,215,-193,-169
-361,806,-1150,1823,-2325,2426,-2060,1754,-595,513,1490,-3527,816,-630,389,90,64,1270,-1177,980,-997,214,-14,950,-1263,767,-121
1696,-1854,2009,-2184,2038,-1340,-96,863,-1289,1011,-1108,1493,-705,119,1605,772,-2365,-3221,1429,2231,-258,-1802,1951,177,-1126,170,35
1594,-1268,97,1491,-1309,2733,-1682,-1602,-1041,547,1386,-1639,2004,-279,98,-1422,1646,-111,-1662,1486,-611,318,-896,1206,-140,-1109,962
700,-468,327,-158,-1082,2104,-1808,2337,-1787,2543,-1662,-1414,-823,736,979,-956,452,555,563,-1995,1057,904,-1652,824,-909,1882,-2453
1152,-1422,1448,-1220,814,-341,973,1168,476,-2214,-4342,3760,117,1037,-1878,2065,-657,-843,470,-768,467,211,-516,352,136,-64,-754
878,-1397,1511,-1272,1102,-516,-533,1846,-1224,2348,-2960,-998,74,1449,27,-1044,1585,-127,-572,-985,2223,-1913,180,971,-409,145,-1578
-1198,1334,-1312,1217,-1554,1895,-911,292,387,1070,981,-5198,1141,-90,1883,-1606,1612,150,-771,539,-734,232,-350,311,-224,189,716
106,623,-818,1292,-1968,956,883,-879,748,-798,3616,-5003,-194,937,573,-113,-639,2108,-1295,73,-573,1111,-390,-542,-5,381,706
461,124,-916,1772,424,-1979,-3339,3057,-475,1144,-1248,1475,-746,-587,719,-883,961,-518,-396,855,-794,1322,-1904,1663,-504,-221,645
505,-4152,1318,-85,1319,-1429,896,1274,-2023,1426,-1035,1203,-1413,273,1303,-1314,1156,-1397,1406,-1147,1096,-213,-136,-62,116,303,-227
-369,989,-1150,1412,-1495,990,-258,1745,1013,-2929,-3329,1959,2659,-990,-1776,2058,1352,-2942,421,2210,-1798,399,-986,2467,-2118,141,1230
-1368,1001,-554,56,1216,-998,1319,-226,2299,-2706,-3711,1686,1876,938,-3387,3250,-384,-551,-1701,2300,-149,-1695,542,856,92,-1181,600
-792,-60,1931,-2450,1625,-1503,1900,-1481,-127,1305,-1419,1733,-416,2242,-2434,-2695,1369,-312,870,-1010,1722,-378,92,-415,114,-234,265
1361,-1089,-186,1191,-1617,2512,-1521,1030,1813,-306,-2363,-3631,1694,2451,49,-1535,-245,1964,245,-3024,2552,-101,-717,308,-1556,2258,-686
-1716,457,1146,-1350,1543,-1401,543,1230,-822,1855,1113,-3919,-1133,-1102,2739,-67,-1590,2039,-249,612,-1761,546,1292,-1854,951,-259,25
-1116,984,-1314,646,574,-774,1615,-2397,2619,-1001,2512,-2570,-2086,-939,2405,170,-1091,790,522,-79,-1852,1602,1155,-2641,1428,13,177
-2359,-645,394,-705,1886,-1859,1073,2137,-1888,965,-2080,1341,1080,-2480,1312,458,-536,-350,-363,814,445,-1610,1274,182,-784,1197,-1597
849,-1137,440,1123,-1518,2237,-1778,1306,1222,-499,-2700,-2929,2867,1491,-1071,-1258,2178,460,-2820,1836,-114,-66,-568,686,18,-1176,2002
-931,516,-382,-716,1777,-2173,1830,-967,1047,744,1602,-3895,-2420,3076,19,732,-2458,3280,-1876,431,-80,-107,476,-1567,2267,-1482,727
-828,2303,-952,294,-3959,2167,-872,1180,-708,1105,556,-1496,903,-645,147,22,-901,1831,1358,-1254,1317,-1622,1351,303,-1215,458,-320
157,581,-1505,2079,-1754,2067,-2671,1975,-118,630,1279,-3046,-1037,946,48,14,78,1452,-883,-578,541,952,-2344,1866,-1183,1218,-1476
-498,954,-821,236,1318,1839,-2390,-3690,604,2143,921,-2400,2376,-689,-155,-656,515,1027,-2095,1073,141,132,-723,59,1243,-1927,1991
-962,581,237,-992,1813,-1599,2228,-1040,1786,-4206,-155,1922,-310,-335,-479,2472,-2620,892,231,-2,205,-809,972,-1049,1378,-1162,581
-644,1044,-2029,2513,-2036,1045,-57,-118,957,66,2329,-4260,-830,65,1935,-704,292,478,-42,-269,-512,21,281,471,-1005,910,376
-780,257,2,-325,1405,-1563,1915,-2401,2335,-197,1779,-4579,-1307,2002,1015,-174,-1782,3406,-1357,-1243,1121,-281,1293,-2868,2521,-769,-259
-738,-667,1509,-958,1204,-1278,2154,350,-1263,-3640,1263,1595,18,-1413,1581,1398,-3453,1996,-61,136,-486,-900,2712,-2647,1257,-371,285
-1643,1410,-807,459,-331,-250,1599,-2343,2609,-2134,1526,-1245,2654,-995,-2728,-467,1203,1115,-1526,1126,222,22,-1421,914,1242,-1807,945
-984,2559,-668,-795,-3735,927,2244,-513,-414,483,1667,-2226,-251,1470,-538,-412,-591,1822,-1411,557,143,39,162,-1358,2849,-2297,1165
779,-913,205,1317,808,-3300,-1584,1312,1810,-149,-1903,2297,-674,-112,-1425,1536,636,-2363,1497,115,-21,-933,385,1345,-1803,1717,-1280
-643,959,-1331,1999,-1779,1506,-817,2072,-1950,-1183,1005,-1265,318,-493,2376,-479,-1178,2093,-2473,2172,-2129,1552,-904,300,-144,-659,933
-1196,2611,-2185,1334,-1675,1934,-777,-740,1147,-1382,805,-554,786,-236,-1615,2645,-1430,1611,-862,1438,-2886,-472,179,1124,-329,-194,1566
-380,707,-1487,1458,-512,-837,1296,-1276,2149,-1219,3075,-4748,-387,855,1326,-781,-306,1743,-1267,-592,714,431,-268,-1074,1428,-1115,1275
-656,1439,381,-3074,-1702,910,2164,-942,872,-835,1723,-2208,994,-572,672,-430,-772,1564,-655,-85,203,-741,1683,-1722,1818,-1445,798
827,-1418,656,-757,1026,-315,-284,1109,-1983,2639,-1627,4000,-4850,-1476,598,2554,-284,-2439,2356,505,-1864,73,1338,109,-2083,1707,-569
-1522,1213,-2375,2987,-1674,667,75,-570,561,1016,2264,-3329,-4167,1175,3831,-912,-1533,1581,682,-828,-1790,2739,-1245,-297,-489,1399,91
-1436,511,246,-683,1229,-1722,2983,-2412,1013,1310,643,-3459,-2810,3501,743,-476,-1765,3510,-1298,-1378,185,992,-7,-1682,1509,-279,146
-2448,2235,-1208,74,-22,-1,880,-1387,1586,-168,2530,-4869,-67,148,2644,-1330,-868,1913,-641,-459,-342,1436,-722,-1387,2169,-1004,470
-856,1099,-1101,1014,-795,-84,1689,-1548,1990,-537,2386,-4891,-2111,3115,956,-537,-2002,4063,-2098,-326,-494,1472,-635,-1299,1700,-507,498
-1280,1235,-2260,2905,-1872,608,97,-921,1616,154,2344,-4692,-1129,905,1991,-1238,-833,2527,-952,-560,-319,1593,-1177,-410,455,371,165
765,-907,858,-666,-626,1663,-1341,1849,-1954,1710,-1629,3463,-1,-3658,-3216,2437,2702,-1494,-668,1371,736,-1816,-673,2821,-2123,168,-520
1612,-1527,969,1377,-1682,-1090,-889,2494,-1545,1243,-1221,1720,-1926,683,-200,289,-2,-608,763,-322,-180,677,-757,1291,-1954,1606,29
561,-1147,2172,-2391,1702,-440,-860,1194,-1135,1851,-2150,1706,-459,874,552,-1251,-1232,-209,-187,708,868,-179,-148,90,-290,-159,-792
-585,337,-432,-805,2210,-1531,1165,270,1417,-3726,-1295,3183,-835,632,-2077,3115,-2133,436,160,-157,328,-1222,1461,-737,234,101,-600
-461,903,-1660,2636,-2144,1169,-1798,1286,309,-1228,1315,-1700,1325,14,521,1543,-2754,183,-2765,2585,429,-283,-1060,1428,549,-1817,219
-385,-340,1308,-2277,2526,-2119,1558,-914,725,1442,-644,-2264,-1062,697,1140,384,-248,487,-271,-1260,1891,-1873,2083,-2353,1270,252,-991
1055,-1813,1205,-28,-1138,2230,-2437,1777,-37,131,2013,-3802,-1369,1667,1020,119,-1067,-427,1968,-1403,137,-402,683,439,-2115,2269,-455
-1716,1436,-956,-43,1267,-870,43,1001,1835,-1204,-4624,1852,318,2122,-1899,897,689,-1278,731,-1589,2091,-783,-1058,1722,-553,402,-1217
2501,-1231,481,-721,1237,-777,-223,481,-1204,2353,-2133,3135,-1273,-544,-3217,1149,667,-88,-173,1043,477,-814,-794,1389,-376,-1041,1933
-268,-445,204,-1663,2660,-1183,-662,1603,-1339,1779,2131,-2412,-2381,-1078,347,2892,-1410,177,-217,1463,-505,-1566,1382,-451,860,-1187,-814
626,-147,873,-12,1643,-1929,-3218,1671,930,613,-2460,3090,-680,-1059,592,-430,1211,-1664,1331,-474,-290,245,-421,1572,-2080,1830,-1527
-525,455,-109,-1292,2347,-2033,2221,-2375,2464,186,420,-2748,-1501,960,359,358,369,474,-160,-371,489,-1747,1982,-1351,815,-591,542
1694,-3248,-1177,-311,1950,286,-1179,1571,-440,673,-2527,2594,-1211,-398,519,267,-107,-808,1503,-853,33,340,90,-75,-604,1066,-688
200,446,-1228,1331,-1923,2689,-1972,1046,156,-663,3372,-3089,-1114,-776,1102,133,-86,405,812,-1376,504,544,-690,696,-1137,675,326
1682,-2130,1989,-994,-161,408,-642,1131,-2098,2524,-1326,1242,-171,3346,-4614,-2970,2278,2176,-904,-2068,2566,389,-2217,850,168,587,-1615
67,-90,458,-735,-450,2322,-2438,2149,-1429,2381,1040,-3058,-1562,-340,1177,-57,438,334,216,-49,-537,857,-1304,1315,-1362,1333,-454
-319,1089,-1252,1341,-1088,210,1092,-709,1639,-1611,3824,-3882,-2331,-109,3441,-573,-1548,766,1298,-1245,-551,1271,-542,-522,662,-614,1320
668,-916,3268,-581,-2383,-2380,1417,1323,-431,565,-754,1742,-2094,1088,-606,281,265,-1548,2547,-1815,382,340,-199,294,-612,969,-106
-1709,781,-965,1338,-93,-797,1411,-1885,2467,72,2344,-6850,-1843,4516,2080,-2977,-1061,3379,-693,-2455,1438,869,-972,-995,2098,-956,456
1176,-912,905,-1324,541,1306,-1831,1504,-959,2694,-275,-3969,-1209,2988,1146,-1541,-613,1309,574,-3066,3091,-607,-1195,833,-563,1768,-2616
-1053,1106,-2137,1944,-590,-191,-24,128,1091,-740,3553,-3958,-3528,1957,2440,-121,-3468,3803,-163,-1703,30,1036,73,-1320,1088,-7,-143
-1362,-91,259,269,484,-1636,2034,-1953,2830,-782,1509,-4520,397,835,848,-488,-424,1688,-873,-434,93,204,31,-1299,2329,-1614,944
457,1306,-1640,-2840,875,168,1446,-1087,1536,-1566,1832,-1853,466,368,-641,294,-105,754,-761,-573,1492,-1133,1255,-1490,1384,-720,-397
-932,1333,-710,-379,993,-956,1232,-1578,3413,-1407,-659,-2801,1328,18,814,-226,569,111,-1251,878,252,-579,363,-1375,2396,-2305,1269
1403,-2236,1964,-1105,793,-235,-364,1561,-1397,2349,378,-3523,-1301,711,2064,-1216,641,-202,941,-1741,1319,-1138,1375,-1065,-295,1077,-694
-120,102,758,-1255,2536,-75,-1859,-3172,3024,-695,1591,-1912,1459,-123,-934,890,-880,1004,-754,-714,2210,-2063,1033,-921,1196,-399,-907
-72,2019,-948,2676,-4016,-979,301,519,1173,-1288,1809,-1352,1386,-1718,652,344,-559,402,-492,1068,-1277,1137,-489,91,259,-178,-25
-1954,1881,-2133,2024,-967,-306,964,-1160,2019,98,480,-4177,-923,2664,434,134,-1370,1681,-844,479,-988,1228,-151,-1526,1300,93,112
