967,-1457,2063,-2139,2054,-1185,4188,-4446,-678,1562,666,-3734,1560,2675,-2600,-772,2857,-495,-2188,808,2941,-3123,496,-323,2472,-2580,-101
2403,-3262,-464,894,921,-3080,-863,4793,-2384,-1671,1523,2163,-3107,91,2237,-819,-744,-136,1202,-307,-1258,1957,-1104,580,-1424,2587,-1855
321,-1988,1791,-1692,1948,-1302,2831,-1825,-2008,1050,2570,-4089,-249,3413,-848,-2604,2582,804,-1995,-972,3725,-2102,-532,-233,1848,-426,-2267
732,-694,554,-942,4703,-4137,-949,334,3173,-5158,1352,3594,-1845,-2171,2166,1307,-2411,-27,2488,-1700,-627,869,361,216,-1738,2038,-1583
-604,227,-490,1212,1041,-1055,-3143,3274,2295,-5779,737,3566,-675,-3844,2519,2414,-3269,275,1228,1015,-3245,1743,1440,-1358,-670,511,1282
2297,-2115,333,-629,1243,677,2643,-3143,-4378,2549,2404,-2630,-1368,4698,-2838,-212,774,1192,-2582,753,1360,-1246,435,-155,931,-740,-117
-971,210,1342,-1279,412,-1052,2438,563,-3307,-1236,6080,-4664,-3546,4765,1243,-4384,4279,495,-2921,1333,1501,-1427,148,-645,2784,-2674,863
16,431,-662,1414,1347,-1119,-4128,4054,1154,-4806,958,3369,-2297,-2097,3772,-520,-1874,281,2261,-1089,-1571,1871,217,-1695,1197,-460,1824
957,-299,499,2678,-4408,600,1841,-483,-4578,4446,816,-2478,-1718,5282,-2603,-1646,1712,1219,-1751,-238,868,1259,-2573,1314,-616,1985,-1872
236,-2973,483,431,2162,-5713,966,3115,-1067,-1630,-447,4986,-2618,-2156,1948,1116,-891,-1057,291,1184,308,-2391,1421,292,464,-461,-1894
-1858,1791,-753,61,-411,1501,1783,-4418,-432,4143,-1233,-5535,4667,2208,-3109,-2176,4746,-860,-3278,2898,404,-976,-1016,1367,914,-1521,-15
2409,-2020,2074,-2902,2366,-1305,845,996,123,-3484,904,3963,-4487,-2047,4461,-215,-2706,-371,5077,-4351,722,805,878,-1776,-187,1923,-1077
947,-4351,2642,-94,-391,-3148,3935,-234,-2621,792,2597,-1827,-1418,1995,494,-1837,1523,-1057,1603,-2205,1792,-98,-342,-574,169,767,-1453
-883,1359,-1391,1050,-1310,2351,1101,-2135,-3445,4571,-1681,-3825,3508,1470,-2546,-1345,4270,-1940,-1818,2952,-841,-48,-2134,3477,-1372,-668,63
-1127,1232,-798,1139,-1826,2272,-95,503,-4352,4960,-584,-4420,911,3611,-1771,-2789,2843,1516,-3018,927,484,1679,-3497,2443,71,-375,-963
1771,-341,-2204,-376,3287,-3560,-1448,2831,1292,-2804,-785,4209,-2733,-390,859,830,-1018,58,664,-221,-135,259,-418,1584,-2192,1902,-1687
2291,-2453,2020,-2271,1679,-1286,659,681,1855,-2894,-1353,3851,-1757,-2839,1672,2253,-1901,-3078,5296,-1668,-1039,-571,2144,-1213,-559,1356,-117
-470,1070,-1524,1007,-346,2509,-1574,-3270,2152,3489,-5259,-1015,4643,-234,-3874,968,3637,-2794,-1158,2821,-853,-411,-1658,2903,-247,-2174,1355
283,2241,-3508,-333,2150,-815,-2346,769,3425,-3050,-1619,3829,-1052,-1288,-1156,3924,-2783,572,127,514,-467,-224,1227,-754,-700,1370,-580
-383,424,-123,-496,2407,-368,-2382,-1563,5281,-4921,-1585,3370,699,-2528,-359,3613,-2608,-304,1804,-84,-1097,259,687,410,-1779,1825,-1267
-489,927,-889,1017,-788,291,3188,-2295,-2821,2249,2903,-6729,3249,2543,-1401,-3464,3408,1212,-3225,1215,818,-501,-1008,1141,575,-635,-878
2040,-5153,3042,160,-1676,-1545,3384,-465,-2052,1316,1223,-1439,-53,582,673,-1872,2060,-1607,1981,-1418,522,593,-1510,1721,-1264,778,-204
43,99,-197,2343,-1565,-2335,2018,2944,-5082,-1013,4708,-1890,-1345,-481,4467,-4049,49,2119,-783,-581,-809,2204,-964,-1198,1308,59,119
1637,-2259,2878,-2200,1383,-2209,1711,1260,693,-4075,213,4769,-3409,-3267,3693,503,-2304,-1337,5369,-3181,-536,164,2474,-2272,-286,1668,-386
-865,1121,-1571,2077,-2446,2058,551,726,-4756,1756,3867,-4667,-578,3747,-868,-2370,838,2808,-3668,1485,384,605,-2295,1673,177,-637,406
-1083,1733,-1055,1298,-1932,2248,-214,1045,-4749,3582,1098,-4015,-247,3625,-1063,-2601,1670,2416,-3195,1128,301,1482,-3292,2296,259,-286,-1342
-497,572,-694,-553,1422,-694,4040,-5187,-1173,3986,1128,-7095,3479,3544,-3452,-1613,3308,530,-3478,1097,3196,-3025,849,-1034,2697,-2457,503
249,-455,1263,-1820,2081,-1339,3084,-5180,1604,3218,-1272,-4822,2930,2774,-3789,-823,4126,-1276,-1731,189,3018,-3419,1042,585,256,-1067,-886
750,-1077,1326,830,1347,-4136,-448,4325,-2829,-2314,984,4015,-3867,-1246,4703,-1494,-1611,-147,2896,-1888,-865,1363,674,-1066,-595,1572,-171
2902,-1802,213,-892,1368,171,-1595,1770,-627,3185,-6687,2954,3685,-3969,-3608,5339,114,-3956,1070,3605,-2506,-1294,2065,571,-2422,850,1141
2240,327,-2384,-711,2819,-1764,-2861,2883,658,-1175,-1654,3889,-2566,-372,2021,-1359,963,-2018,3011,-2302,968,483,-496,-112,-22,358,130
-496,299,199,2844,-3181,-2348,3916,-148,-3667,-210,5540,-4658,341,1571,1045,-2690,332,2114,-1183,-898,1408,-543,227,-1257,1872,-652,-264
770,-2000,1910,-1876,2324,-1456,3733,-4063,-717,2152,121,-3289,149,4130,-2876,-1238,2916,-387,-1505,-248,2693,-2612,1453,-722,1157,-1862,1042
413,-385,201,551,1246,30,-4701,2513,4317,-4495,-2867,4133,1112,-4687,2432,1899,-1550,-2077,3423,-179,-2021,574,1760,-1084,-631,-487,2962
610,-1024,2235,-1366,3638,-4160,417,570,1434,-3036,-1268,4466,-2735,-922,1718,774,-1707,-440,2785,-2222,989,-1239,2357,-2155,757,498,87
3784,-1757,78,-346,28,942,1795,-1299,-3521,2203,3329,-4678,-873,4017,-1327,-2669,2860,630,-1504,-1450,3116,-949,-1284,961,428,-717,84
