71,-5,118,-86,-19,1,197,-151,-84,794,-59,-2239,1525,1388,-875,-1639,993,1416,-1839,333,730,-322,-164,44,253
-202,5,300,167,-91,-1199,308,1308,-329,-1004,246,876,-1045,60,562,-335,-200,244,201,-355,82,251,-440,155,160
-144,-115,38,185,-332,218,81,-164,187,1145,-1823,-404,1766,175,-1797,-263,1680,-604,-770,666,255,-360,-18,545,-480
108,70,528,-20,-1326,280,1090,191,-775,-535,881,283,-734,-145,443,-131,-84,-121,112,91,-151,71,62,-278,172
7,222,-42,-244,54,172,8,-143,50,1013,-716,-1838,1202,1511,-287,-1706,-633,1884,-357,-1173,734,245,-215,-335,529
79,36,-104,212,-319,-36,138,83,884,-1108,-1184,1062,1290,-99,-1577,-170,1556,-524,-1274,588,702,-150,-536,196,543
597,-58,-842,-183,650,347,-657,-837,875,235,-690,221,600,-380,-387,362,83,-311,-6,133,-106,91,143,-188,110
-254,-111,173,-12,20,389,530,-1460,73,1193,-50,-1086,-200,1338,-805,-309,671,48,-303,-45,253,-262,-7,77,-166
-27,-66,68,178,-211,-211,143,298,560,-558,-1417,1048,1358,-706,-1496,1206,764,-1613,270,855,-463,-490,728,281,-928
-17,-105,40,133,5,-152,-56,133,581,361,-2035,500,1723,-363,-1465,203,1613,-1429,-579,1348,-200,-823,285,656,-569
129,-37,-57,-13,136,-116,-139,256,890,-1098,-974,1435,736,-1133,-947,1563,-64,-1316,666,786,-703,-346,794,20,-681
-34,-223,210,-86,-127,-13,221,-12,-244,38,1013,170,-2483,1003,1839,-766,-1494,333,1788,-1860,-46,1158,-243,-377,76
-277,-244,188,210,-185,-202,78,374,614,-315,-1396,1005,925,-606,-1112,774,534,-1360,835,480,-706,62,344,10,-590
-152,-89,-40,312,-214,-131,114,208,564,-370,-1593,1313,894,-810,-1155,894,677,-1359,599,378,-313,-160,215,60,-456
136,145,-208,-39,8,756,-123,-1299,479,973,-238,-1017,405,853,-1233,43,806,-453,-251,169,366,-303,215,-27,-56
-54,-41,47,-46,23,-88,131,69,346,589,-2125,532,1613,-358,-1542,77,1628,-1459,-69,1144,-512,-325,428,220,-622
-86,-255,322,51,-329,-21,705,448,-1832,323,1382,-145,-1008,-137,1053,-984,-132,891,-459,-199,283,469,-498,43,304
-114,-87,107,3,-83,193,-17,-280,347,992,-932,-1333,1513,669,-1324,-921,1638,92,-1236,602,356,-377,-160,466,-34
